t,x,y
1054,38.4,39.2
1055,38.8,39.2
1056,39.2,39.4
1057,39.2,39.8
1058,39.4,40.2
1059,39.8,40.2
1060,40.2,40.4
1061,40.2,40.8
1062,40.4,41.2
1063,40.8,41.2
1064,41.2,41.4
1065,41.2,41.8
1066,41.4,42.2
1067,41.8,42.2
1068,42.2,42.4
1069,42.2,42.8
1070,42.4,43.2
1071,42.8,43.2
1072,43.2,43.4
1073,43.2,43.8
1074,43.4,44.2
1075,43.8,44.2
1076,44.2,44.4
1077,44.2,44.8
1078,44.4,45.2
1079,44.8,45.2
1080,45.2,45.4
1081,45.2,45.8
1082,45.4,46.2
1083,45.8,46.2
1084,46.2,46.4
1085,46.2,46.8
1086,46.4,47.2
1087,46.8,47.2
1088,47.2,47.4
1089,47.2,47.8
1090,47.4,48.2
1091,47.8,48.2
1092,48.2,48.4
1103,0.8,1.2
1104,1.2,1.4
1105,1.2,1.8
1106,1.4,2.2
1107,1.8,2.2
1108,2.2,2.4
1109,2.2,2.8
1110,2.4,3.2
1111,2.8,3.2
1112,3.2,3.4
1113,3.2,3.8
1114,3.4,4.2
1115,3.8,4.2
1116,4.2,4.4
1117,4.2,4.8
1118,4.4,5.2
1119,4.8,5.2
1120,5.2,5.4
1121,5.2,5.8
1122,5.4,6.2
1123,5.8,6.2
1124,6.2,6.4
1125,6.2,6.8
1126,6.4,7.2
1127,6.8,7.2
1128,7.2,7.4
1129,7.2,7.8
1130,7.4,8.2
1131,7.8,8.2
1132,8.2,8.4
1133,8.2,8.8
1134,8.4,9.2
1135,8.8,9.2
1136,9.2,9.4
1137,9.2,9.8
1138,9.4,10.2
1139,9.8,10.2
1140,10.2,10.4
1141,10.2,10.8
1142,10.4,11.2
1143,10.8,11.2
1144,11.2,11.4
1145,11.2,11.8
1146,11.4,12.2
1147,11.8,12.2
1148,12.2,12.4
1149,12.2,12.8
1150,12.4,13.2
1151,12.8,13.2
1152,13.2,13.4
1153,13.2,13.8
1154,13.4,14.2
1155,13.8,14.2
1156,14.2,14.4
1157,14.2,14.8
1158,14.4,15.2
1159,14.8,15.2
1160,15.2,15.4
1161,15.2,15.8
1162,15.4,16.2
1163,15.8,16.2
1164,16.2,16.4
1165,16.2,16.8
1166,16.4,17.2
1167,16.8,17.2
1168,17.2,17.4
1169,17.2,17.8
1170,17.4,18.2
1171,17.8,18.2
1172,18.2,18.4
1173,18.2,18.8
1174,18.4,19.2
1175,18.8,19.2
1176,19.2,19.4
1177,19.2,19.8
1178,19.4,20.2
1179,19.8,20.2
1180,20.2,20.4
1181,20.2,20.8
1182,20.4,21.2
1183,20.8,21.2
1184,21.2,21.4
1185,21.2,21.8
1186,21.4,22.2
1187,21.8,22.2
1188,22.2,22.4
1189,22.2,22.8
1190,22.4,23.2
1191,22.8,23.2
1192,23.2,23.4
1193,23.2,23.8
1194,23.4,24.2
1195,23.8,24.2
1196,24.2,24.4
1197,24.2,24.8
1198,24.4,25.2
1199,24.8,25.2
1200,25.2,25.4
1201,25.2,25.8
1202,25.4,26.2
1203,25.8,26.2
1204,26.2,26.4
1205,26.2,26.8
1206,26.4,27.2
1207,26.8,27.2
1208,27.2,27.4
1209,27.2,27.8
1210,27.4,28.2
1211,27.8,28.2
1212,28.2,28.4
1213,28.2,28.8
1214,28.4,29.2
1215,28.8,29.2
1216,29.2,29.4
1217,29.2,29.8
1218,29.4,30.2
1219,29.8,30.2
1220,30.2,30.4
1221,30.2,30.8
1222,30.4,31.2
1223,30.8,31.2
1224,31.2,31.4
1225,31.2,31.8
1226,31.4,32.2
1227,31.8,32.2
1228,32.2,32.4
1229,32.2,32.8
1230,32.4,33.2
1231,32.8,33.2
1232,33.2,33.4
1233,33.2,33.8
1234,33.4,34.2
1235,33.8,34.2
1236,34.2,34.4
1237,34.2,34.8
1238,34.4,35.2
1239,34.8,35.2
1240,35.2,35.4
1241,35.2,35.8
1242,35.4,36.2
1243,35.8,36.2
1244,36.2,36.4
1245,36.2,36.8
1246,36.4,37.2
1247,36.8,37.2
1248,37.2,37.4
1249,37.2,37.8
1250,37.4,38.2
1251,37.8,38.2
1252,38.2,38.4
1253,38.2,38.8
1254,38.4,39.2
1255,38.8,39.2
1256,39.2,39.4
1257,39.2,39.8
1258,39.4,40.2
1259,39.8,40.2
1260,40.2,40.4
1261,40.2,40.8
1262,40.4,41.2
1263,40.8,41.2
1264,41.2,41.4
1265,41.2,41.8
1266,41.4,42.2
1267,41.8,42.2
1268,42.2,42.4
1269,42.2,42.8
1270,42.4,43.2
1271,42.8,43.2
1272,43.2,43.4
1273,43.2,43.8
1274,43.4,44.2
1275,43.8,44.2
1276,44.2,44.4
1277,44.2,44.8
1278,44.4,45.2
1279,44.8,45.2
1280,45.2,45.4
1281,45.2,45.8
1282,45.4,46.2
1283,45.8,46.2
1284,46.2,46.4
1285,46.2,46.8
1286,46.4,47.2
1287,46.8,47.2
1288,47.2,47.4
1289,47.2,47.8
1290,47.4,48.2
1291,47.8,48.2
1292,48.2,48.4
1303,0.8,1.2
1304,1.2,1.4
1305,1.2,1.8
1306,1.4,2.2
1307,1.8,2.2
1308,2.2,2.4
1309,2.2,2.8
1310,2.4,3.2
1311,2.8,3.2
1312,3.2,3.4
1313,3.2,3.8
1314,3.4,4.2
1315,3.8,4.2
1316,4.2,4.4
1317,4.2,4.8
